unix,Date,Symbol,Open,High,Low,Close,Volume,Volume USDT,tradecount
1.55987E+12,6/7/2019 0:00,ETH/USDT,248.77,253.28,243.46,248.77,353378.6568,87644279.25,149700
1.55978E+12,6/6/2019 0:00,ETH/USDT,245.62,250.66,235.01,248.76,297579.1473,72417630,146839
1.55969E+12,6/5/2019 0:00,ETH/USDT,241.46,250.41,237.37,245.63,335953.3793,81839286.62,173428
1.55961E+12,6/4/2019 0:00,ETH/USDT,250.02,251.67,234.39,241.39,633822.7125,154709331.3,270568
1.55952E+12,6/3/2019 0:00,ETH/USDT,268.87,270,248,249.91,397360.6528,103602836.7,193998
1.55943E+12,6/2/2019 0:00,ETH/USDT,264.33,273.2,263.2,268.88,301536.1506,80960737.41,138349
1.55935E+12,6/1/2019 0:00,ETH/USDT,267.9,275.5,260.68,264.33,455676.9861,121851235.8,182844
1.55926E+12,5/31/2019 0:00,ETH/USDT,254.59,268.72,245.21,267.9,602153.8724,154783065.8,253604
1.55917E+12,5/30/2019 0:00,ETH/USDT,268.92,288.62,240.14,254.56,1066279.494,289930479.4,368300
1.55909E+12,5/29/2019 0:00,ETH/USDT,271.08,274.04,260.05,268.83,383412.4577,102868997.4,173915
1.559E+12,5/28/2019 0:00,ETH/USDT,270.7,275.95,264.45,271.03,409443.6936,110617403.7,181468
1.55892E+12,5/27/2019 0:00,ETH/USDT,264.35,279.59,260,270.53,635463.502,170250734.9,246768
1.55883E+12,5/26/2019 0:00,ETH/USDT,250.17,269.4,245.11,264.45,450090.2232,115089467.8,159525
1.55874E+12,5/25/2019 0:00,ETH/USDT,248.84,257.33,247.22,250.22,332544.3873,83665127.84,125719
1.55866E+12,5/24/2019 0:00,ETH/USDT,244.63,254.35,241.54,248.87,447066.926,111294049.4,171482
1.55857E+12,5/23/2019 0:00,ETH/USDT,243.68,247.34,231.1,244.56,600193.8937,144051488.9,198869
1.55848E+12,5/22/2019 0:00,ETH/USDT,253.35,260.18,239.63,243.64,592848.9561,149006735.6,208482
1.5584E+12,5/21/2019 0:00,ETH/USDT,250.48,262,246.06,253.43,580249.6975,146749988.3,229662
1.55831E+12,5/20/2019 0:00,ETH/USDT,259.37,259.49,238,250.37,666889.8224,165783106.1,246484
